Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
666404200,00000287,false,0,8,27,10,27,10,27,10,00,00
666406700,00000285,false,0,8,00,00,02,00,00,00,00,00
666409300,00000370,false,0,8,05,BE,00,00,00,00,00,00
666411700,00000207,false,0,8,08,00,00,00,08,10,00,00
666411900,00000371,false,0,8,00,00,00,00,00,00,00,00
666414200,00000287,false,0,8,27,10,27,10,27,10,00,00
666416800,00000285,false,0,8,00,00,02,08,81,00,08,10
666419300,00000286,false,0,8,00,00,00,00,00,00,00,00
666424200,00000287,false,0,8,27,10,27,10,27,10,00,00
666426700,00000285,false,0,8,00,00,02,00,00,00,00,10
666429200,00000370,false,0,8,00,00,00,00,00,00,00,00
666430300,00000424,false,0,8,05,80,00,1E,00,10,00,00
666434200,00000287,false,0,8,27,10,27,10,27,10,00,00
666436700,00000285,false,0,8,00,00,02,00,00,00,00,10
666444000,000006FA,false,0,8,00,4A,4D,46,58,44,47,47
666444200,00000287,false,0,8,27,10,27,10,27,10,00,00
666446700,00000285,false,0,8,00,00,02,00,00,00,00,10
666448500,00000188,false,0,8,00,00,FF,FF,00,00,00,00
666449200,00000370,false,0,8,00,00,00,00,00,00,00,00
666452200,00000388,false,0,8,7C,00,00,00,00,00,00,00
666454100,00000287,false,0,8,27,10,27,10,27,10,00,00
666456700,00000285,false,0,8,00,00,02,00,00,00,00,10
666459600,00000154,false,0,8,61,FF,61,61,0A,07,6C,78
666462200,00000676,false,0,8,00,00,00,00,00,00,00,00
666464100,00000287,false,0,8,27,10,27,10,27,10,00,00
666466700,00000285,false,0,8,00,00,02,00,00,00,00,10
666469100,00000370,false,0,8,00,00,00,00,00,00,00,00
666470500,00000424,false,0,8,05,7F,00,1C,00,10,00,00
666472200,00000677,false,0,8,00,00,00,00,00,00,00,00
666474100,00000287,false,0,8,27,10,27,10,27,10,00,00
666476600,00000285,false,0,8,00,00,02,00,00,00,00,10
666478400,00000185,false,0,8,00,00,04,00,00,00,00,00
666482200,00000571,false,0,8,00,00,00,00,00,00,00,00
666484000,00000287,false,0,8,27,10,27,10,27,10,00,00
666486600,00000285,false,0,8,00,00,02,00,00,00,00,10
666489100,00000370,false,0,8,00,00,00,00,00,00,00,00
666494000,00000287,false,0,8,27,10,27,10,27,10,00,00
666496500,00000285,false,0,8,00,00,02,00,00,00,00,10
666498400,00000185,false,0,8,00,00,08,00,00,00,00,00
666504000,00000287,false,0,8,27,10,27,10,27,10,00,00
666506600,00000285,false,0,8,00,00,02,00,00,00,00,10
666509000,00000370,false,0,8,00,00,00,00,00,00,00,00
666510200,00000424,false,0,8,05,7F,00,10,00,10,00,00
666511400,00000207,false,0,8,08,00,00,00,08,10,00,00
666511700,00000371,false,0,8,00,00,FE,00,00,00,00,00
666514000,00000287,false,0,8,27,10,27,10,27,10,00,00
666516500,00000285,false,0,8,00,00,02,00,00,00,00,10
666518900,00000289,false,0,8,27,10,4E,20,00,01,11,00
666519200,00000286,false,0,8,00,00,00,00,00,00,00,00
666519400,00000299,false,0,8,37,38,41,69,38,00,00,00
666519600,0000028B,false,0,8,27,10,4E,20,00,01,01,00
666519900,00000732,false,0,8,03,E8,03,E8,64,64,02,81
666520100,0000029B,false,0,8,38,37,42,69,39,0A,00,38
