Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
239164800,00000151,false,0,8,82,FF,FF,FF,FE,02,00,00
239165800,00000347,false,0,8,01,00,00,16,12,00,FF,FF
239166300,00000315,false,0,8,55,02,00,00,00,00,71,01
239171400,00000425,false,0,8,00,21,0A,10,00,00,00,00
239176100,00000424,false,0,8,05,7D,00,1F,00,03,00,00
239178200,00000188,false,0,8,00,00,00,FF,00,00,00,00
239181500,0000039A,false,0,8,67,F8,00,00,00,00,00,00
239183500,00000347,false,0,8,01,00,00,16,12,00,02,3A
239186100,00000315,false,0,8,59,02,00,00,00,00,71,01
239186400,000006FF,false,0,8,4D,01,0A,96,60,00,00,00
239191500,000006FD,false,0,8,01,8B,22,41,10,04,C8,18
239196200,000006FB,false,0,8,01,80,1C,04,83,0A,00,40
239201500,000005FE,false,0,8,41,28,D5,15,20,18,08,6B
239206200,00000315,false,0,8,1D,02,00,00,00,00,71,01
239206400,000006F1,false,0,8,F5,0C,02,0B,5C,04,10,53
239208100,00000185,false,0,8,00,00,FF,00,00,00,00,00
239211300,000006F3,false,0,8,99,01,68,0A,02,11,06,33
239211600,00000425,false,0,8,00,21,0A,10,00,00,00,00
239214000,00000236,false,0,8,10,13,3F,FF,00,00,00,98
239216100,00000325,false,0,6,01,00,00,00,00,00
239216300,00000424,false,0,8,05,7D,00,1E,00,03,00,00
239224000,00000236,false,0,8,10,13,3F,FF,10,00,00,80
239225900,000006F4,false,0,8,69,29,20,01,1D,00,00,00
239226200,00000315,false,0,8,21,02,00,00,00,00,71,01
239231600,0000039A,false,0,8,67,F8,00,00,00,00,00,00
239233400,00000347,false,0,8,01,00,00,16,12,00,02,3A
239234000,00000236,false,0,8,10,13,3F,FF,20,00,00,A8
239236600,00000143,false,0,8,7D,00,00,00,00,7D,1F,FF
239236900,00000418,false,0,8,FF,FF,FF,00,00,00,38,00
239236700,00000287,false,1,8,27,10,27,10,27,10,00,00
239238400,00000185,false,1,8,08,00,04,00,00,00,00,00
239239200,00000285,false,1,8,00,00,02,00,00,00,00,00
239238200,00000185,false,0,8,08,00,04,00,00,00,00,00
239239100,00000145,false,0,8,4E,20,9F,FF,DF,FF,1F,FF
239239400,00000346,false,0,8,FF,FF,FF,00,00,00,00,7F
239241800,00000370,false,1,8,05,BE,00,00,00,00,00,00
239241700,00000359,false,0,8,30,03,7F,80,C0,00,2E,00
239242000,0000035A,false,0,8,00,80,80,80,80,00,00,00
239242200,00000390,false,0,8,08,00,FF,FF,FE,00,00,00
239243900,00000236,false,0,8,10,13,3F,FF,30,00,00,B0
239244200,00000207,false,0,8,08,00,00,00,08,10,00,00
239244400,00000215,false,0,8,FF,FF,FF,FF,FF,FF,00,00
239244300,00000371,false,1,8,00,00,00,00,00,00,00,00
239244600,00000207,false,1,8,08,00,00,00,08,10,00,00
239244700,00000229,false,0,8,00,07,D0,3F,FF,0C,00,00
239244900,00000300,false,0,8,00,80,FF,FF,1F,FF,FF,FF
239245200,00000328,false,0,8,00,00,FF,00,03,00,00,8C
239245400,00000330,false,0,8,01,00,00,00,FF,FF,3F,FF
239245700,00000520,false,0,8,00,00,00,00,00,00,00,00
239246200,00000315,false,0,8,65,02,00,00,00,00,71,01
239246700,00000287,false,1,8,27,10,27,10,27,10,00,00
239246700,00000143,false,0,8,00,00,00,04,08,7D,11,17
239247000,00000387,false,0,8,00,00,7F,BC,00,00,00,00
239248400,00000188,false,0,8,00,00,FF,FF,00,00,00,00
239248700,00000188,false,1,8,00,00,FF,FF,00,00,00,00
239249300,00000285,false,1,8,00,00,02,08,7E,00,08,10
239249200,00000145,false,0,8,4E,20,AF,FF,8F,FF,0F,FF
239249500,00000353,false,0,8,00,00,00,00,00,00,00,00
239251500,00000425,false,0,8,00,21,0A,10,00,00,00,00
239251800,00000345,false,0,8,00,00,FF,FF,00,01,00,00
239251800,00000286,false,1,8,00,00,00,00,00,00,00,00
239252100,0000035A,false,0,8,00,80,80,80,80,00,00,00
239253000,0000022A,false,0,8,00,00,44,00,04,00,04,00
