Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
282012600,00000236,false,0,8,0F,FA,10,00,D0,00,00,4A
361302900,00000312,false,0,8,66,F0,06,F0,08,EF,07,23
361303100,0000022B,false,0,8,04,FF,00,00,00,00,00,00
361303400,00000315,false,0,8,5C,02,00,00,00,00,71,01
361303600,00000353,false,0,8,00,00,00,00,00,00,00,00
361303900,000007BC,false,0,8,09,00,78,00,00,00,00,00
361304100,00000345,false,0,8,00,00,FF,FF,0F,FF,0F,FF
361304400,0000035A,false,0,8,00,80,80,80,80,00,00,00
361305000,00000229,false,0,8,08,07,D0,3F,FF,0C,00,00
361305200,00000300,false,0,8,00,80,83,80,1F,FF,7F,F3
361305500,00000328,false,0,8,00,00,83,00,60,00,00,50
361305700,00000330,false,0,8,15,00,00,00,FF,FF,3F,80
361306300,00000210,false,0,8,00,00,00,80,C0,07,D0,FF
361306600,00000236,false,0,8,0F,FA,10,00,00,00,00,F2
361306800,0000038C,false,0,8,66,04,20,40,00,00,00,00
361308500,00000425,false,0,8,00,21,0A,10,00,00,00,00
361308800,00000143,false,0,8,00,00,00,04,08,7D,11,17
361309100,00000418,false,0,8,50,FF,FF,00,00,00,00,01
361307900,00000289,false,1,8,27,10,4E,20,0D,3C,11,10
361308200,00000566,false,1,8,22,8A,0A,A0,A8,A0,AA,8A
361308700,00000568,false,1,8,00,02,80,0A,00,00,A8,AA
361309000,00000287,false,1,8,27,10,27,10,27,10,00,00
361310300,0000028B,false,1,8,27,10,4E,20,0D,3D,01,14
361310600,0000056A,false,1,8,22,8A,0A,A0,A8,A0,AA,8A
361311300,00000133,false,0,8,6F,00,00,00,40,00,00,00
361311500,00000145,false,0,8,4E,20,AF,FF,8F,FF,0F,FF
361311700,00000308,false,0,8,00,00,00,00,00,06,CC,00
361312000,00000346,false,0,8,27,10,29,24,00,01,08,64
361312200,00000312,false,0,8,06,F0,06,F0,08,EF,07,23
361312400,000002E1,false,0,8,00,00,80,1F,FF,00,00,00
361311300,00000285,false,1,8,00,00,14,09,91,FE,0C,10
361311900,00000373,false,1,8,B9,B9,7F,7C,0C,58,80,16
361313000,00000288,false,1,8,27,10,4E,20,0D,3B,01,10
361313300,00000362,false,1,8,02,01,00,00,00,00,00,00
361313500,00000424,false,1,8,04,91,04,10,00,05,00,00
361313800,00000564,false,1,8,22,8A,AA,AA,A8,A0,AA,8A
361314000,00000370,false,1,8,05,BE,00,00,00,00,00,00
361313200,00000424,false,0,8,04,91,04,10,00,05,00,00
361313800,00000359,false,0,8,30,03,7F,80,C0,00,2E,00
361314000,0000035A,false,0,8,00,80,80,80,80,00,00,00
361314300,0000032F,false,0,8,4E,1B,00,00,00,00,00,00
361315000,00000200,false,0,8,00,03,00,00,00,00,00,00
361315200,00000208,false,0,8,00,20,00,00,00,00,00,00
361315500,00000214,false,0,8,00,00,00,00,00,00,00,00
361316200,00000101,false,0,1,84
361316400,0000022D,false,0,8,01,00,47,FF,00,00,00,00
361316700,00000215,false,0,8,00,00,00,00,00,00,04,00
361316900,00000236,false,0,8,0F,FA,10,00,10,00,00,EA
361317900,00000289,false,1,8,27,10,4E,20,0D,3C,11,10
361318200,00000567,false,1,8,AA,02,00,00,80,AA,00,00
361318800,00000143,false,0,8,00,00,00,1C,08,7D,11,17
361319000,00000390,false,0,8,08,00,FF,FF,FE,00,00,00
361318500,00000732,false,1,8,03,E8,03,E8,64,64,05,3A
361318700,00000377,false,1,8,05,B9,00,7B,3A,37,37,22
361318900,00000287,false,1,8,27,10,27,10,27,10,00,00
361320300,0000028B,false,1,8,27,10,4E,20,0D,3D,01,14
361321200,00000133,false,0,8,6F,00,00,00,40,00,00,00
361321400,00000145,false,0,8,4E,20,6F,FF,8F,FF,0F,FF
361321600,000002F1,false,0,8,00,00,15,6C,00,DF,FF,00
361320600,0000056B,false,1,8,AA,02,00,00,80,AA,00,00
361320800,00000734,false,1,8,03,E8,03,E8,64,64,35,35
361321300,00000285,false,1,8,00,00,14,09,91,FE,0C,10
361321900,00000373,false,1,8,B9,B9,7F,7C,0C,58,80,16
361321900,00000308,false,0,8,00,00,00,00,00,06,CC,00
361322100,00000348,false,0,8,7F,FE,FF,FE,00,00,FF,FE
361322400,00000312,false,0,8,06,F0,06,F0,08,EF,07,23
361322600,000007BC,false,0,8,0A,90,17,A0,01,00,00,00
361322900,0000022A,false,0,8,00,00,44,00,04,00,04,00
